"origin","year","month","day","hour","temp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","pressure","visib","time_hour"
"JFK",2023,1,1,20,NA,NA,NA,280,12.65858,14.5672406924,NA,NA,10,2023-01-02 13:00:00
"JFK",2023,1,1,21,NA,NA,NA,270,8.05546,9.2700622588,NA,NA,10,2023-01-02 14:00:00
"JFK",2023,1,1,22,NA,NA,NA,310,5.7539,6.621473042,NA,NA,10,2023-01-02 15:00:00
"JFK",2023,1,1,23,NA,NA,NA,0,0,0,NA,NA,10,2023-01-02 16:00:00
"JFK",2023,1,2,0,NA,NA,NA,260,10.35702,11.9186514756,NA,NA,10,2023-01-02 17:00:00
"JFK",2023,1,2,1,NA,NA,NA,230,9.20624,10.5943568672,NA,NA,10,2023-01-02 18:00:00
"JFK",2023,1,2,2,NA,NA,NA,240,11.5078,13.242946084,NA,NA,10,2023-01-02 19:00:00
"JFK",2023,1,2,3,NA,NA,NA,260,5.7539,6.621473042,NA,NA,10,2023-01-02 20:00:00
"JFK",2023,1,2,4,NA,NA,NA,240,5.7539,6.621473042,NA,NA,10,2023-01-02 21:00:00
"JFK",2023,1,2,5,NA,NA,NA,240,5.7539,6.621473042,NA,NA,10,2023-01-02 22:00:00
"JFK",2023,1,2,6,NA,NA,NA,230,5.7539,6.621473042,NA,NA,10,2023-01-02 23:00:00
"JFK",2023,1,2,7,NA,NA,NA,230,5.7539,6.621473042,NA,NA,10,2023-01-03
"JFK",2023,1,2,8,NA,NA,NA,240,8.05546,9.2700622588,NA,NA,10,2023-01-03 01:00:00
"JFK",2023,1,2,9,NA,NA,NA,230,4.60312,5.2971784336,NA,NA,10,2023-01-03 02:00:00
"JFK",2023,1,2,10,NA,NA,NA,240,4.60312,5.2971784336,NA,NA,10,2023-01-03 03:00:00
"JFK",2023,1,2,11,NA,NA,NA,210,5.7539,6.621473042,NA,NA,10,2023-01-03 04:00:00
"JFK",2023,1,2,12,NA,NA,NA,250,10.35702,11.9186514756,NA,NA,10,2023-01-03 05:00:00
"JFK",2023,1,2,13,NA,NA,NA,260,10.35702,11.9186514756,NA,NA,10,2023-01-03 06:00:00
"JFK",2023,1,2,14,NA,NA,NA,250,9.20624,10.5943568672,NA,NA,10,2023-01-03 07:00:00
"JFK",2023,1,2,15,NA,NA,NA,240,9.20624,10.5943568672,NA,NA,10,2023-01-03 08:00:00
"JFK",2023,1,2,16,NA,NA,NA,260,5.7539,6.621473042,NA,NA,10,2023-01-03 09:00:00
"JFK",2023,1,2,17,NA,NA,NA,240,4.60312,5.2971784336,NA,NA,10,2023-01-03 10:00:00
"JFK",2023,1,2,18,NA,NA,NA,190,4.60312,5.2971784336,NA,NA,10,2023-01-03 11:00:00
"JFK",2023,1,2,19,NA,NA,NA,180,9.20624,10.5943568672,NA,NA,10,2023-01-03 12:00:00
"JFK",2023,1,2,20,NA,NA,NA,190,5.7539,6.621473042,NA,NA,10,2023-01-03 13:00:00
"JFK",2023,1,2,21,NA,NA,NA,190,11.5078,13.242946084,NA,NA,10,2023-01-03 14:00:00
"JFK",2023,1,2,22,NA,NA,NA,180,5.7539,6.621473042,NA,NA,10,2023-01-03 15:00:00
"JFK",2023,1,2,23,NA,NA,NA,170,4.60312,5.2971784336,NA,NA,10,2023-01-03 16:00:00
"JFK",2023,1,3,0,NA,NA,NA,200,5.7539,6.621473042,NA,NA,10,2023-01-03 17:00:00
"JFK",2023,1,3,1,NA,NA,NA,220,5.7539,6.621473042,NA,NA,10,2023-01-03 18:00:00
"JFK",2023,1,3,2,NA,NA,NA,200,5.7539,6.621473042,NA,NA,10,2023-01-03 19:00:00
"JFK",2023,1,3,3,NA,NA,NA,170,4.60312,5.2971784336,NA,NA,9,2023-01-03 20:00:00
"JFK",2023,1,3,4,NA,NA,NA,0,0,0,NA,NA,10,2023-01-03 21:00:00
"JFK",2023,1,3,5,NA,NA,NA,130,2.30156,2.6485892168,NA,NA,10,2023-01-03 22:00:00
"JFK",2023,1,3,6,NA,NA,NA,0,0,0,NA,NA,10,2023-01-03 23:00:00
"JFK",2023,1,3,7,NA,NA,NA,140,4.60312,5.2971784336,NA,NA,6,2023-01-04
"JFK",2023,1,3,8,NA,NA,NA,110,2.30156,2.6485892168,NA,NA,6,2023-01-04 01:00:00
"JFK",2023,1,3,9,NA,NA,NA,0,0,0,NA,NA,5,2023-01-04 02:00:00
"JFK",2023,1,3,10,NA,NA,NA,120,2.30156,2.6485892168,NA,NA,6,2023-01-04 03:00:00
"JFK",2023,1,3,11,NA,NA,NA,120,5.7539,6.621473042,NA,NA,6,2023-01-04 04:00:00
"JFK",2023,1,3,12,NA,NA,NA,140,2.30156,2.6485892168,NA,NA,6,2023-01-04 05:00:00
"JFK",2023,1,3,13,NA,NA,NA,130,4.60312,5.2971784336,NA,NA,5,2023-01-04 06:00:00
"JFK",2023,1,3,14,NA,NA,NA,160,10.35702,11.9186514756,NA,NA,7,2023-01-04 07:00:00
"JFK",2023,1,3,15,NA,NA,NA,190,5.7539,6.621473042,NA,NA,10,2023-01-04 08:00:00
"JFK",2023,1,3,16,NA,NA,NA,240,5.7539,6.621473042,0.02,NA,2,2023-01-04 09:00:00
"JFK",2023,1,3,17,NA,NA,NA,150,2.30156,2.6485892168,0.02,NA,2,2023-01-04 10:00:00
"JFK",2023,1,3,18,NA,NA,NA,200,9.20624,10.5943568672,NA,NA,1.5,2023-01-04 11:00:00
"JFK",2023,1,3,19,NA,NA,NA,190,9.20624,10.5943568672,NA,NA,2,2023-01-04 12:00:00
"JFK",2023,1,3,20,NA,NA,NA,180,8.05546,9.2700622588,NA,NA,4,2023-01-04 13:00:00
"JFK",2023,1,3,21,NA,NA,NA,180,8.05546,9.2700622588,NA,NA,4,2023-01-04 14:00:00
"JFK",2023,1,3,22,NA,NA,NA,180,8.05546,9.2700622588,NA,NA,5,2023-01-04 15:00:00
"JFK",2023,1,3,23,NA,NA,NA,200,4.60312,5.2971784336,NA,NA,5,2023-01-04 16:00:00
"JFK",2023,1,4,0,NA,NA,NA,200,4.60312,5.2971784336,NA,NA,5,2023-01-04 17:00:00
"JFK",2023,1,4,1,NA,NA,NA,100,2.30156,2.6485892168,NA,NA,5,2023-01-04 18:00:00
"JFK",2023,1,4,2,NA,NA,NA,170,8.05546,9.2700622588,NA,NA,5,2023-01-04 19:00:00
"JFK",2023,1,4,3,NA,NA,NA,190,5.7539,6.621473042,NA,NA,1.5,2023-01-04 20:00:00
"JFK",2023,1,4,4,NA,NA,NA,190,5.7539,6.621473042,NA,NA,6,2023-01-04 21:00:00
"JFK",2023,1,4,5,NA,NA,NA,190,5.7539,6.621473042,NA,NA,7,2023-01-04 22:00:00
"JFK",2023,1,4,6,NA,NA,NA,220,5.7539,6.621473042,NA,NA,7,2023-01-04 23:00:00
"JFK",2023,1,4,7,NA,NA,NA,190,8.05546,9.2700622588,NA,NA,6,2023-01-05
"JFK",2023,1,4,8,NA,NA,NA,0,0,0,NA,NA,6,2023-01-05 01:00:00
"JFK",2023,1,4,9,NA,NA,NA,200,4.60312,5.2971784336,NA,NA,6,2023-01-05 02:00:00
"JFK",2023,1,4,10,NA,NA,NA,230,5.7539,6.621473042,NA,NA,6,2023-01-05 03:00:00
"JFK",2023,1,4,11,NA,NA,NA,240,8.05546,9.2700622588,NA,NA,9,2023-01-05 04:00:00
"JFK",2023,1,4,12,NA,NA,NA,240,5.7539,6.621473042,NA,NA,9,2023-01-05 05:00:00
"JFK",2023,1,4,13,NA,NA,NA,260,8.05546,9.2700622588,NA,NA,8,2023-01-05 06:00:00
"JFK",2023,1,4,14,NA,NA,NA,230,9.20624,10.5943568672,NA,NA,7,2023-01-05 07:00:00
"JFK",2023,1,4,15,NA,NA,NA,200,4.60312,5.2971784336,NA,NA,6,2023-01-05 08:00:00
"JFK",2023,1,4,16,NA,NA,NA,200,5.7539,6.621473042,NA,NA,7,2023-01-05 09:00:00
"JFK",2023,1,4,17,NA,NA,NA,200,9.20624,10.5943568672,NA,NA,9,2023-01-05 10:00:00
"JFK",2023,1,4,18,NA,NA,NA,190,5.7539,6.621473042,NA,NA,10,2023-01-05 11:00:00
"JFK",2023,1,4,19,NA,NA,NA,170,5.7539,6.621473042,NA,NA,10,2023-01-05 12:00:00
"JFK",2023,1,4,20,NA,NA,NA,140,5.7539,6.621473042,NA,NA,10,2023-01-05 13:00:00
"JFK",2023,1,4,21,NA,NA,NA,50,2.30156,2.6485892168,NA,NA,10,2023-01-05 14:00:00
"JFK",2023,1,4,22,NA,NA,NA,160,5.7539,6.621473042,NA,NA,10,2023-01-05 15:00:00
"JFK",2023,1,4,23,NA,NA,NA,70,5.7539,6.621473042,NA,NA,7,2023-01-05 16:00:00
"JFK",2023,1,5,0,NA,NA,NA,140,4.60312,5.2971784336,NA,NA,6,2023-01-05 17:00:00
"JFK",2023,1,5,1,NA,NA,NA,120,4.60312,5.2971784336,NA,NA,5,2023-01-05 18:00:00
"JFK",2023,1,5,2,NA,NA,NA,100,4.60312,5.2971784336,NA,NA,4,2023-01-05 19:00:00
"JFK",2023,1,5,3,NA,NA,NA,30,5.7539,6.621473042,NA,NA,0.75,2023-01-05 20:00:00
"JFK",2023,1,5,4,NA,NA,NA,100,5.7539,6.621473042,NA,NA,1.5,2023-01-05 21:00:00
"JFK",2023,1,5,5,NA,NA,NA,60,2.30156,2.6485892168,NA,NA,0.24,2023-01-05 22:00:00
"JFK",2023,1,5,6,NA,NA,NA,0,0,0,NA,NA,1.5,2023-01-05 23:00:00
"JFK",2023,1,5,7,NA,NA,NA,350,5.7539,6.621473042,NA,NA,2.5,2023-01-06
"JFK",2023,1,5,8,NA,NA,NA,340,5.7539,6.621473042,NA,NA,3,2023-01-06 01:00:00
"JFK",2023,1,5,9,NA,NA,NA,360,10.35702,11.9186514756,NA,NA,8,2023-01-06 02:00:00
"JFK",2023,1,5,10,NA,NA,NA,0,0,0,NA,NA,10,2023-01-06 03:00:00
"JFK",2023,1,5,11,NA,NA,NA,10,5.7539,6.621473042,NA,NA,2,2023-01-06 04:00:00
"JFK",2023,1,5,12,NA,NA,NA,60,8.05546,9.2700622588,NA,NA,0.75,2023-01-06 05:00:00
"JFK",2023,1,5,13,NA,NA,NA,50,5.7539,6.621473042,NA,NA,0.5,2023-01-06 06:00:00
"JFK",2023,1,5,14,NA,NA,NA,50,5.7539,6.621473042,NA,NA,3,2023-01-06 07:00:00
"JFK",2023,1,5,15,NA,NA,NA,30,9.20624,10.5943568672,NA,NA,10,2023-01-06 08:00:00
"JFK",2023,1,5,16,NA,NA,NA,30,5.7539,6.621473042,NA,NA,10,2023-01-06 09:00:00
"JFK",2023,1,5,17,NA,NA,NA,60,8.05546,9.2700622588,NA,NA,10,2023-01-06 10:00:00
"JFK",2023,1,5,18,NA,NA,NA,30,4.60312,5.2971784336,NA,NA,10,2023-01-06 11:00:00
"JFK",2023,1,5,19,NA,NA,NA,60,5.7539,6.621473042,NA,NA,10,2023-01-06 12:00:00
"JFK",2023,1,5,20,NA,NA,NA,80,5.7539,6.621473042,NA,NA,10,2023-01-06 13:00:00
"JFK",2023,1,5,21,NA,NA,NA,60,5.7539,6.621473042,NA,NA,10,2023-01-06 14:00:00
"JFK",2023,1,5,22,NA,NA,NA,60,4.60312,5.2971784336,NA,NA,10,2023-01-06 15:00:00
"JFK",2023,1,5,23,NA,NA,NA,90,4.60312,5.2971784336,NA,NA,5,2023-01-06 16:00:00
"JFK",2023,1,6,0,NA,NA,NA,110,5.7539,6.621473042,NA,NA,5,2023-01-06 17:00:00
"JFK",2023,1,6,1,NA,NA,NA,100,5.7539,6.621473042,NA,NA,6,2023-01-06 18:00:00
"JFK",2023,1,6,2,NA,NA,NA,110,5.7539,6.621473042,NA,NA,8,2023-01-06 19:00:00
"JFK",2023,1,6,3,NA,NA,NA,60,5.7539,6.621473042,NA,NA,5,2023-01-06 20:00:00
"JFK",2023,1,6,4,NA,NA,NA,70,9.20624,10.5943568672,NA,NA,6,2023-01-06 21:00:00
"JFK",2023,1,6,5,NA,NA,NA,70,8.05546,9.2700622588,NA,NA,7,2023-01-06 22:00:00
"JFK",2023,1,6,6,NA,NA,NA,100,9.20624,10.5943568672,NA,NA,8,2023-01-06 23:00:00
"JFK",2023,1,6,7,NA,NA,NA,120,4.60312,5.2971784336,0.01,NA,8,2023-01-07
"JFK",2023,1,6,8,NA,NA,NA,50,4.60312,5.2971784336,0.02,NA,6,2023-01-07 01:00:00
"JFK",2023,1,6,9,NA,NA,NA,60,4.60312,5.2971784336,0.01,NA,6,2023-01-07 02:00:00
"JFK",2023,1,6,10,NA,NA,NA,0,0,0,NA,NA,8,2023-01-07 03:00:00
"JFK",2023,1,6,11,NA,NA,NA,80,8.05546,9.2700622588,NA,NA,10,2023-01-07 04:00:00
"JFK",2023,1,6,12,NA,NA,NA,120,9.20624,10.5943568672,NA,NA,10,2023-01-07 05:00:00
"JFK",2023,1,6,13,NA,NA,NA,80,4.60312,5.2971784336,NA,NA,7,2023-01-07 06:00:00
"JFK",2023,1,6,14,NA,NA,NA,80,5.7539,6.621473042,NA,NA,10,2023-01-07 07:00:00
"JFK",2023,1,6,15,NA,NA,NA,30,4.60312,5.2971784336,NA,NA,10,2023-01-07 08:00:00
"JFK",2023,1,6,16,NA,NA,NA,0,0,0,NA,NA,10,2023-01-07 09:00:00
"JFK",2023,1,6,17,NA,NA,NA,320,2.30156,2.6485892168,NA,NA,8,2023-01-07 10:00:00
"JFK",2023,1,6,18,NA,NA,NA,0,0,0,NA,NA,5,2023-01-07 11:00:00
"JFK",2023,1,6,19,NA,NA,NA,190,5.7539,6.621473042,NA,NA,9,2023-01-07 12:00:00
"JFK",2023,1,6,20,NA,NA,NA,240,10.35702,11.9186514756,NA,NA,7,2023-01-07 13:00:00
"JFK",2023,1,6,21,NA,NA,NA,250,8.05546,9.2700622588,NA,NA,10,2023-01-07 14:00:00
"JFK",2023,1,6,22,NA,NA,NA,260,14.96014,17.2158299092,NA,NA,10,2023-01-07 15:00:00
"JFK",2023,1,6,23,NA,NA,NA,260,12.65858,14.5672406924,NA,NA,10,2023-01-07 16:00:00
"JFK",2023,1,7,0,NA,NA,NA,310,14.96014,17.2158299092,NA,NA,10,2023-01-07 17:00:00
"JFK",2023,1,7,1,NA,NA,NA,290,11.5078,13.242946084,NA,NA,10,2023-01-07 18:00:00
"JFK",2023,1,7,2,NA,NA,NA,310,14.96014,17.2158299092,NA,NA,10,2023-01-07 19:00:00
"JFK",2023,1,7,3,NA,NA,NA,290,12.65858,14.5672406924,NA,NA,10,2023-01-07 20:00:00
"JFK",2023,1,7,4,NA,NA,NA,300,16.11092,18.5401245176,NA,NA,10,2023-01-07 21:00:00
"JFK",2023,1,7,5,NA,NA,NA,300,12.65858,14.5672406924,NA,NA,10,2023-01-07 22:00:00
"JFK",2023,1,7,6,NA,NA,NA,280,10.35702,11.9186514756,NA,NA,10,2023-01-07 23:00:00
"JFK",2023,1,7,7,NA,NA,NA,280,9.20624,10.5943568672,NA,NA,10,2023-01-08
"JFK",2023,1,7,8,NA,NA,NA,270,10.35702,11.9186514756,NA,NA,10,2023-01-08 01:00:00
"JFK",2023,1,7,9,NA,NA,NA,280,9.20624,10.5943568672,NA,NA,10,2023-01-08 02:00:00
"JFK",2023,1,7,10,NA,NA,NA,270,10.35702,11.9186514756,NA,NA,10,2023-01-08 03:00:00
"JFK",2023,1,7,11,NA,NA,NA,270,8.05546,9.2700622588,NA,NA,10,2023-01-08 04:00:00
"JFK",2023,1,7,12,NA,NA,NA,270,11.5078,13.242946084,NA,NA,10,2023-01-08 05:00:00
"JFK",2023,1,7,13,NA,NA,NA,280,8.05546,9.2700622588,NA,NA,10,2023-01-08 06:00:00
"JFK",2023,1,7,14,NA,NA,NA,280,9.20624,10.5943568672,NA,NA,10,2023-01-08 07:00:00
"JFK",2023,1,7,15,NA,NA,NA,290,12.65858,14.5672406924,NA,NA,10,2023-01-08 08:00:00
"JFK",2023,1,7,16,NA,NA,NA,300,11.5078,13.242946084,NA,NA,10,2023-01-08 09:00:00
"JFK",2023,1,7,17,NA,NA,NA,300,10.35702,11.9186514756,NA,NA,10,2023-01-08 10:00:00
"JFK",2023,1,7,18,NA,NA,NA,300,11.5078,13.242946084,NA,NA,10,2023-01-08 11:00:00
"JFK",2023,1,7,19,NA,NA,NA,290,12.65858,14.5672406924,NA,NA,10,2023-01-08 12:00:00
"JFK",2023,1,7,20,NA,NA,NA,300,12.65858,14.5672406924,NA,NA,10,2023-01-08 13:00:00
"JFK",2023,1,7,21,NA,NA,NA,310,11.5078,13.242946084,NA,NA,10,2023-01-08 14:00:00
"JFK",2023,1,7,22,NA,NA,NA,310,10.35702,11.9186514756,NA,NA,10,2023-01-08 15:00:00
"JFK",2023,1,7,23,NA,NA,NA,280,11.5078,13.242946084,NA,NA,10,2023-01-08 16:00:00
"JFK",2023,1,8,0,NA,NA,NA,300,16.11092,18.5401245176,NA,NA,10,2023-01-08 17:00:00
"JFK",2023,1,8,1,NA,NA,NA,290,10.35702,11.9186514756,NA,NA,10,2023-01-08 18:00:00
"JFK",2023,1,8,2,NA,NA,NA,300,14.96014,17.2158299092,NA,NA,10,2023-01-08 19:00:00
"JFK",2023,1,8,3,NA,NA,NA,310,12.65858,14.5672406924,NA,NA,10,2023-01-08 20:00:00
"JFK",2023,1,8,4,NA,NA,NA,300,12.65858,14.5672406924,NA,NA,10,2023-01-08 21:00:00
"JFK",2023,1,8,5,NA,NA,NA,310,12.65858,14.5672406924,NA,NA,10,2023-01-08 22:00:00
"JFK",2023,1,8,6,NA,NA,NA,310,11.5078,13.242946084,NA,NA,10,2023-01-08 23:00:00
"JFK",2023,1,8,7,NA,NA,NA,320,12.65858,14.5672406924,NA,NA,10,2023-01-09
"JFK",2023,1,8,8,NA,NA,NA,320,12.65858,14.5672406924,NA,NA,10,2023-01-09 01:00:00
"JFK",2023,1,8,9,NA,NA,NA,330,12.65858,14.5672406924,NA,NA,10,2023-01-09 02:00:00
"JFK",2023,1,8,10,NA,NA,NA,300,11.5078,13.242946084,NA,NA,10,2023-01-09 03:00:00
"JFK",2023,1,8,11,NA,NA,NA,320,10.35702,11.9186514756,NA,NA,10,2023-01-09 04:00:00
"JFK",2023,1,8,12,NA,NA,NA,350,10.35702,11.9186514756,NA,NA,10,2023-01-09 05:00:00
"JFK",2023,1,8,13,NA,NA,NA,340,8.05546,9.2700622588,NA,NA,10,2023-01-09 06:00:00
"JFK",2023,1,8,14,NA,NA,NA,360,9.20624,10.5943568672,NA,NA,10,2023-01-09 07:00:00
"JFK",2023,1,8,15,NA,NA,NA,10,8.05546,9.2700622588,NA,NA,10,2023-01-09 08:00:00
"JFK",2023,1,8,16,NA,NA,NA,10,5.7539,6.621473042,NA,NA,10,2023-01-09 09:00:00
"JFK",2023,1,8,17,NA,NA,NA,320,4.60312,5.2971784336,NA,NA,10,2023-01-09 10:00:00
"JFK",2023,1,8,18,NA,NA,NA,310,2.30156,2.6485892168,NA,NA,10,2023-01-09 11:00:00
"JFK",2023,1,8,19,NA,NA,NA,210,5.7539,6.621473042,NA,NA,10,2023-01-09 12:00:00
"JFK",2023,1,8,20,NA,NA,NA,220,8.05546,9.2700622588,NA,NA,10,2023-01-09 13:00:00
"JFK",2023,1,8,21,NA,NA,NA,200,5.7539,6.621473042,NA,NA,10,2023-01-09 14:00:00
"JFK",2023,1,8,22,NA,NA,NA,190,10.35702,11.9186514756,NA,NA,10,2023-01-09 15:00:00
"JFK",2023,1,8,23,NA,NA,NA,200,8.05546,9.2700622588,NA,NA,10,2023-01-09 16:00:00
"JFK",2023,1,9,0,NA,NA,NA,190,9.20624,10.5943568672,NA,NA,10,2023-01-09 17:00:00
"JFK",2023,1,9,1,NA,NA,NA,200,9.20624,10.5943568672,NA,NA,10,2023-01-09 18:00:00
"JFK",2023,1,9,2,NA,NA,NA,210,11.5078,13.242946084,NA,NA,10,2023-01-09 19:00:00
"JFK",2023,1,9,3,NA,NA,NA,200,12.65858,14.5672406924,NA,NA,10,2023-01-09 20:00:00
"JFK",2023,1,9,4,NA,NA,NA,220,8.05546,9.2700622588,NA,NA,10,2023-01-09 21:00:00
"JFK",2023,1,9,5,NA,NA,NA,220,12.65858,14.5672406924,NA,NA,10,2023-01-09 22:00:00
"JFK",2023,1,9,6,NA,NA,NA,220,5.7539,6.621473042,NA,NA,10,2023-01-09 23:00:00
"JFK",2023,1,9,7,NA,NA,NA,260,8.05546,9.2700622588,NA,NA,10,2023-01-10
"JFK",2023,1,9,8,NA,NA,NA,220,8.05546,9.2700622588,NA,NA,10,2023-01-10 01:00:00
"JFK",2023,1,9,9,NA,NA,NA,210,4.60312,5.2971784336,NA,NA,9,2023-01-10 02:00:00
"JFK",2023,1,9,10,NA,NA,NA,270,4.60312,5.2971784336,NA,NA,10,2023-01-10 03:00:00
"JFK",2023,1,9,11,NA,NA,NA,260,4.60312,5.2971784336,NA,NA,10,2023-01-10 04:00:00
"JFK",2023,1,9,12,NA,NA,NA,350,4.60312,5.2971784336,NA,NA,10,2023-01-10 05:00:00
"JFK",2023,1,9,13,NA,NA,NA,280,4.60312,5.2971784336,NA,NA,8,2023-01-10 06:00:00
"JFK",2023,1,9,14,NA,NA,NA,300,8.05546,9.2700622588,NA,NA,10,2023-01-10 07:00:00
"JFK",2023,1,9,15,NA,NA,NA,320,9.20624,10.5943568672,NA,NA,10,2023-01-10 08:00:00
"JFK",2023,1,9,16,NA,NA,NA,330,12.65858,14.5672406924,NA,NA,10,2023-01-10 09:00:00
"JFK",2023,1,9,17,NA,NA,NA,300,11.5078,13.242946084,NA,NA,10,2023-01-10 10:00:00
"JFK",2023,1,9,18,NA,NA,NA,320,12.65858,14.5672406924,NA,NA,10,2023-01-10 11:00:00
"JFK",2023,1,9,19,NA,NA,NA,290,12.65858,14.5672406924,NA,NA,10,2023-01-10 12:00:00
"JFK",2023,1,9,20,NA,NA,NA,310,16.11092,18.5401245176,NA,NA,10,2023-01-10 13:00:00
"JFK",2023,1,9,21,NA,NA,NA,310,9.20624,10.5943568672,NA,NA,10,2023-01-10 14:00:00
"JFK",2023,1,9,22,NA,NA,NA,300,12.65858,14.5672406924,NA,NA,10,2023-01-10 15:00:00
"JFK",2023,1,9,23,NA,NA,NA,310,9.20624,10.5943568672,NA,NA,10,2023-01-10 16:00:00
"JFK",2023,1,10,0,NA,NA,NA,300,12.65858,14.5672406924,NA,NA,10,2023-01-10 17:00:00
"JFK",2023,1,10,1,NA,NA,NA,290,9.20624,10.5943568672,NA,NA,10,2023-01-10 18:00:00
"JFK",2023,1,10,2,NA,NA,NA,270,8.05546,9.2700622588,NA,NA,10,2023-01-10 19:00:00
"JFK",2023,1,10,3,NA,NA,NA,260,10.35702,11.9186514756,NA,NA,10,2023-01-10 20:00:00
"JFK",2023,1,10,4,NA,NA,NA,270,12.65858,14.5672406924,NA,NA,10,2023-01-10 21:00:00
"JFK",2023,1,10,5,NA,NA,NA,270,11.5078,13.242946084,NA,NA,10,2023-01-10 22:00:00
"JFK",2023,1,10,6,NA,NA,NA,270,9.20624,10.5943568672,NA,NA,10,2023-01-10 23:00:00
"JFK",2023,1,10,7,NA,NA,NA,300,9.20624,10.5943568672,NA,NA,10,2023-01-11
"JFK",2023,1,10,8,NA,NA,NA,260,8.05546,9.2700622588,NA,NA,10,2023-01-11 01:00:00
"JFK",2023,1,10,9,NA,NA,NA,260,9.20624,10.5943568672,NA,NA,10,2023-01-11 02:00:00
"JFK",2023,1,10,10,NA,NA,NA,250,9.20624,10.5943568672,NA,NA,10,2023-01-11 03:00:00
"JFK",2023,1,10,11,NA,NA,NA,270,11.5078,13.242946084,NA,NA,10,2023-01-11 04:00:00
"JFK",2023,1,10,12,NA,NA,NA,330,11.5078,13.242946084,NA,NA,10,2023-01-11 05:00:00
"JFK",2023,1,10,13,NA,NA,NA,240,10.35702,11.9186514756,NA,NA,10,2023-01-11 06:00:00
"JFK",2023,1,10,14,NA,NA,NA,230,9.20624,10.5943568672,NA,NA,10,2023-01-11 07:00:00
"JFK",2023,1,10,15,NA,NA,NA,240,11.5078,13.242946084,NA,NA,10,2023-01-11 08:00:00
"JFK",2023,1,10,16,NA,NA,NA,270,10.35702,11.9186514756,NA,NA,10,2023-01-11 09:00:00
"JFK",2023,1,10,17,NA,NA,NA,260,9.20624,10.5943568672,NA,NA,10,2023-01-11 10:00:00
"JFK",2023,1,10,18,NA,NA,NA,270,10.35702,11.9186514756,NA,NA,10,2023-01-11 11:00:00
"JFK",2023,1,10,19,NA,NA,NA,260,9.20624,10.5943568672,NA,NA,10,2023-01-11 12:00:00
"JFK",2023,1,10,20,NA,NA,NA,290,10.35702,11.9186514756,NA,NA,10,2023-01-11 13:00:00
"JFK",2023,1,10,21,NA,NA,NA,240,10.35702,11.9186514756,NA,NA,10,2023-01-11 14:00:00
"JFK",2023,1,10,22,NA,NA,NA,290,8.05546,9.2700622588,NA,NA,10,2023-01-11 15:00:00
"JFK",2023,1,10,23,NA,NA,NA,290,5.7539,6.621473042,NA,NA,10,2023-01-11 16:00:00
"JFK",2023,1,11,0,NA,NA,NA,320,8.05546,9.2700622588,NA,NA,10,2023-01-11 17:00:00
"JFK",2023,1,11,1,NA,NA,NA,340,9.20624,10.5943568672,NA,NA,10,2023-01-11 18:00:00
